指数名称,最新价,涨跌额,涨跌幅,行情时间,股市
英国富时100指数,7551.69,-22,-0.29%,19:45:00,欧洲股市
德国DAX 30种股价指数,16947.86,-89.49,-0.53%,19:44:00,欧洲股市
俄罗斯MICEX指数,3254.83,-0.74,-0.02%,18:58:00,欧洲股市
法CAC40指数,7662.06,-27.74,-0.36%,19:45:00,欧洲股市
瑞士股票指数,11196.87,17.57,0.16%,19:45:00,欧洲股市
富时意大利MIB指数,31309,-147.73,-0.47%,19:44:00,欧洲股市
道琼斯,38797.38,125.69,0.33%,6:20:49,美洲股市
纳斯达克,15942.55,-48.12,-0.30%,9:38:33,美洲股市
标准普尔500,5021.84,-4.77,-0.09%,6:20:49,美洲股市
加拿大S&P/TSX综合指数,21067.3,57.7,0.27%,13:00:00,美洲股市
墨西哥BOLSA指数,57418.55,91.05,0.16%,13:00:00,美洲股市
巴西BOVESPA股票指数,128100,-117,-0.09%,13:00:00,美洲股市
中国上证指数,2865.9,36.21,1.28%,15:30:39,亚洲股市
中国香港恒生指数,15746.58,-131.49,-0.83%,12:09:37,亚洲股市
中国台湾加权指数,18096.07,36.14,0.20%,13:51:17,亚洲股市
日经225指数,37963.97,1066.55,2.89%,14:15:00,亚洲股市
富时新加坡海峡时报指数,3141.87,3.57,0.11%,17:20:00,亚洲股市
韩国成份指数,2645.96,25.64,0.98%,17:05:00,亚洲股市
澳大利亚标准普尔200指数,7602.4,-12.5,-0.16%,13:57:00,澳洲股市
新西兰NZSE 50指数,11739.68,-18.3,-0.16%,13:00:00,澳洲股市
埃及CASE 30指数,28628.5,133.8,0.47%,20:30:00,非洲股市
南非综合指数,73748.81,26.71,0.04%,19:45:00,非洲股市
